Column Name,Data Type,Missing %,Unique Values,Classification,Recommended Action,Reason
Displacement,float64,0.14,187,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Max Power,object,0.61,1018,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Max Torque,object,0.61,844,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
No of Cylinder,float64,0.38,11,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Values per Cylinder,float64,0.6,7,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Value Configuration,object,20.71,13,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
BoreX Stroke,object,66.58,224,High-missing-value feature,Drop,"66.58% missing, above the 40.0% threshold."
Turbo Charger,object,5.75,9,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Super Charger,object,14.14,5,Low-information feature,Drop,Column is dominated (>99%) by a single value; carries negligible predictive signal.
Length,object,0.96,516,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Width,object,0.98,394,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Height,object,0.96,423,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Wheel Base,object,1.47,328,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Front Tread,object,41.98,219,High-missing-value feature,Drop,"41.98% missing, above the 40.0% threshold."
Rear Tread,object,41.98,238,High-missing-value feature,Drop,"41.98% missing, above the 40.0% threshold."
Kerb Weight,object,34.75,831,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Gross Weight,object,55.24,436,High-missing-value feature,Drop,"55.24% missing, above the 40.0% threshold."
Gear Box,object,1.08,132,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Drive Type,object,11.89,24,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Seating Capacity,float64,0.05,11,Duplicate feature,Drop,Duplicate encoding of 'seating_capacity_new' (group: seating_capacity); keeping only the canonical column.
Steering Type,object,2.14,11,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Turning Radius,object,15.47,239,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Front Brake Type,object,0.86,43,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Rear Brake Type,object,0.86,48,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Top Speed,object,39.76,372,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Acceleration,object,36.99,414,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Tyre Type,object,0.68,37,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
No Door Numbers,float64,0.12,5,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Cargo Volumn,object,17.8,398,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
model_type_new,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
originalLocation,float64,100.0,0,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
page_title,object,0.0,37814,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
compare_car_details,float64,100.0,0,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
seller_type_new,object,0.0,2,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
seating_capacity_new,float64,0.08,10,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
transmission_type,object,0.0,2,Duplicate feature,Drop,Duplicate encoding of 'transmission_type_new' (group: transmission); keeping only the canonical column.
model_year_new,int64,0.0,34,Duplicate feature,Drop,Duplicate encoding of 'myear' (group: model_year); keeping only the canonical column.
car_type_new,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
model_name,object,0.0,382,Duplicate feature,Drop,Duplicate encoding of 'model' (group: model); keeping only the canonical column.
model_id_new,int64,0.0,382,Duplicate feature,Drop,Redundant member of the 'model_numeric_id' duplicate group; whole group dropped.
oem_name,object,0.0,46,Duplicate feature,Drop,Duplicate encoding of 'oem' (group: brand); keeping only the canonical column.
price_range_segment,object,0.0,5,Potential data leakage feature,Drop,Price bucket computed directly from the target; using it would leak the answer.
dealer_id_new,int64,0.0,1,Low-information feature,Drop,Column is dominated (>99%) by a single value; carries negligible predictive signal.
state,object,0.0,33,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
city_id_new,int64,0.0,617,Duplicate feature,Drop,Redundant member of the 'city_numeric_id' duplicate group; whole group dropped.
fuel_type,object,0.0,5,Duplicate feature,Drop,Duplicate encoding of 'fuel_type_new' (group: fuel_type); keeping only the canonical column.
max_engine_capacity_new,float64,0.14,187,Duplicate feature,Drop,Duplicate encoding of 'Displacement' (group: engine_cc_numeric); keeping only the canonical column.
transmission_type_new,object,0.0,2,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
km_driven,int64,0.0,23862,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
model_new,object,0.0,382,Duplicate feature,Drop,Duplicate encoding of 'model' (group: model); keeping only the canonical column.
vehicle_type_new,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
brand_name,object,0.0,46,Duplicate feature,Drop,Duplicate encoding of 'oem' (group: brand); keeping only the canonical column.
engine_cc,object,0.43,6,Duplicate feature,Drop,Redundant member of the 'engine_cc_bucket' duplicate group; whole group dropped.
fuel_type_new,object,0.0,5,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
car_segment,object,0.05,11,Duplicate feature,Drop,Duplicate encoding of 'body_type_new' (group: body_type); keeping only the canonical column.
used_carid,int64,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
city_name_new,object,0.0,617,Duplicate feature,Drop,Duplicate encoding of 'city_x' (group: city); keeping only the canonical column.
page_type,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
city_y,object,0.0,617,Duplicate feature,Drop,Duplicate encoding of 'city_x' (group: city); keeping only the canonical column.
engine_capacity_new,object,0.43,6,Duplicate feature,Drop,Redundant member of the 'engine_cc_bucket' duplicate group; whole group dropped.
body_type_new,object,0.0,12,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
owner_type_new,object,0.0,6,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
mileage_new,object,2.38,627,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
dealer_id,int64,0.0,1,Low-information feature,Drop,Column is dominated (>99%) by a single value; carries negligible predictive signal.
model_year,int64,0.0,34,Duplicate feature,Drop,Duplicate encoding of 'myear' (group: model_year); keeping only the canonical column.
variant_name,object,0.0,4131,Duplicate feature,Drop,Duplicate encoding of 'variantName' (group: variant); keeping only the canonical column.
price_segment,object,0.0,5,Potential data leakage feature,Drop,Price bucket computed directly from the target; using it would leak the answer.
dynx_event,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
dynx_pagetype,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
dynx_itemid_y,int64,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
dynx_itemid2_y,int64,0.0,4585,Duplicate feature,Drop,Redundant member of the 'model_numeric_id' duplicate group; whole group dropped.
dynx_totalvalue_y,int64,0.0,6867,Potential data leakage feature,Drop,Numerically identical to (or directly derived from) the target price.
brand_new,object,0.0,46,Duplicate feature,Drop,Duplicate encoding of 'oem' (group: brand); keeping only the canonical column.
variant_new,object,0.0,4131,Duplicate feature,Drop,Duplicate encoding of 'variantName' (group: variant); keeping only the canonical column.
exterior_color,object,0.33,798,Duplicate feature,Drop,Duplicate encoding of 'Color' (group: color); keeping only the canonical column.
min_engine_capacity_new,float64,0.14,187,Duplicate feature,Drop,Duplicate encoding of 'Displacement' (group: engine_cc_numeric); keeping only the canonical column.
owner_type,object,0.0,6,Duplicate feature,Drop,Duplicate encoding of 'owner_type_new' (group: owner_type); keeping only the canonical column.
price_segment_new,object,0.0,5,Potential data leakage feature,Drop,Price bucket computed directly from the target; using it would leak the answer.
template_name_new,object,0.0,4,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
page_template,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
template_Type_new,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
experiment,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
Fuel Suppy System,object,14.55,99,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Compression Ratio,object,73.1,100,High-missing-value feature,Drop,"73.1% missing, above the 40.0% threshold."
Alloy Wheel Size,object,34.76,18,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Ground Clearance Unladen,object,94.31,31,High-missing-value feature,Drop,"94.31% missing, above the 40.0% threshold."
